iter	Passed	Remaining
0	54	54263
1	54	27268
2	54	18248
3	55	13741
4	55	11040
5	55	9232
6	56	7961
7	56	6993
8	56	6239
9	56	5634
10	57	5141
11	57	4731
12	57	4385
13	58	4094
14	58	3848
15	58	3623
16	59	3424
17	59	3251
18	59	3094
19	60	2949
20	60	2820
21	60	2702
22	61	2596
23	61	2497
24	61	2408
25	62	2325
26	62	2246
27	62	2176
28	62	2107
29	63	2053
30	63	1998
31	64	1944
32	64	1892
33	64	1842
34	65	1796
35	65	1752
36	65	1710
37	66	1671
38	66	1634
39	66	1599
40	66	1565
41	67	1534
42	67	1503
43	67	1474
44	68	1448
45	69	1442
46	69	1418
47	71	1423
48	73	1425
49	73	1405
50	74	1387
51	75	1369
52	75	1350
53	75	1330
54	76	1309
55	76	1289
56	76	1270
57	77	1252
58	77	1233
59	77	1218
60	79	1227
61	80	1211
62	80	1199
63	81	1185
64	81	1174
65	82	1162
66	82	1148
67	82	1134
68	82	1119
69	83	1105
70	83	1093
71	83	1080
72	84	1067
73	84	1055
74	84	1043
75	84	1031
76	85	1020
77	85	1011
78	86	1003
79	86	992
80	86	982
81	86	972
82	87	961
83	87	951
84	87	942
85	87	933
86	88	925
87	88	917
88	88	909
89	89	902
90	89	894
91	89	887
92	90	880
93	90	872
94	90	864
95	90	856
96	91	849
97	91	842
98	91	835
99	92	829
100	92	822
101	92	816
102	92	809
103	93	804
104	93	797
105	93	792
106	94	787
107	94	781
108	94	775
109	95	770
110	95	765
111	95	760
112	96	755
113	96	750
114	96	745
115	97	740
116	97	735
117	97	731
118	98	726
119	98	721
120	98	717
121	98	711
122	99	707
123	99	704
124	100	700
125	100	698
126	100	693
127	101	689
128	101	685
129	101	681
130	102	677
131	102	674
132	102	670
133	103	667
134	103	663
135	103	660
136	104	656
137	104	653
138	104	649
139	105	645
140	105	642
141	105	637
142	105	634
143	106	630
144	106	627
145	106	624
146	106	620
147	107	617
148	107	614
149	107	610
150	108	607
151	108	604
152	108	601
153	109	601
154	110	600
155	111	602
156	111	600
157	112	599
158	113	598
159	113	597
160	114	596
161	114	593
162	115	592
163	116	594
164	116	591
165	117	588
166	117	585
167	117	583
168	118	581
169	118	579
170	119	576
171	119	575
172	119	572
173	120	570
174	120	568
175	120	566
176	121	563
177	121	561
178	121	559
179	122	557
180	122	554
181	122	552
182	123	549
183	123	547
184	123	544
185	124	543
186	124	541
187	124	539
188	125	536
189	125	534
190	125	532
191	125	530
192	126	527
193	126	525
194	126	523
195	127	521
196	127	520
197	127	518
198	128	516
199	128	515
200	129	513
201	129	511
202	129	509
203	130	508
204	130	506
205	130	504
206	131	502
207	131	500
208	131	499
209	132	497
210	132	495
211	132	493
212	133	491
213	133	489
214	133	487
215	133	486
216	134	484
217	134	482
218	134	481
219	135	479
220	135	477
221	135	475
222	136	474
223	136	472
224	136	470
225	137	469
226	137	467
227	137	466
228	137	464
229	138	462
230	138	461
231	138	459
232	139	458
233	139	456
234	139	454
235	140	453
236	140	452
237	140	450
238	141	449
239	141	447
240	141	446
241	142	444
242	142	443
243	142	441
244	142	440
245	143	440
246	144	439
247	144	438
248	144	436
249	145	435
250	145	433
251	145	432
252	145	430
253	146	429
254	146	427
255	146	426
256	146	424
257	147	423
258	147	421
259	147	420
260	148	419
261	148	417
262	148	416
263	148	415
264	149	413
265	149	412
266	149	411
267	150	409
268	150	408
269	150	407
270	150	406
271	151	405
272	151	403
273	151	402
274	152	401
275	152	400
276	152	398
277	153	397
278	153	396
279	153	395
280	153	393
281	154	392
282	154	391
283	154	390
284	155	389
285	155	388
286	155	386
287	155	385
288	156	384
289	156	383
290	156	382
291	157	381
292	157	380
293	157	379
294	158	379
295	159	378
296	159	377
297	159	376
298	159	375
299	160	374
300	160	373
301	161	372
302	161	371
